DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats
21-06-2026,AI,AI 2017,12:05,12,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,316
21-06-2026,AI,AI 2029,12:20,12,DEL-FRA,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,AI,AI 2362,12:25,12,DEL-MNL,INTERNATIONAL,Terminal 3,AISATS,188
21-06-2026,AI,AI 281,12:40,12,DEL-CMB,INTERNATIONAL,Terminal 3,AISATS,182
21-06-2026,KB,KB 201,12:30,12,DEL-PBH,INTERNATIONAL,Terminal 3,BFS,118
21-06-2026,6E,6E 1103,12:35,12,DEL-DAC,INTERNATIONAL,Terminal 3,BFS,232
21-06-2026,C6,C6 558,12:10,12,DEL-TAS,INTERNATIONAL,Terminal 3,BFS,180
21-06-2026,MS,MS 974,12:00,12,DEL-CAI,INTERNATIONAL,Terminal 3,BFS,142
21-06-2026,AI,AI 2243,13:45,13,DEL-RUH,INTERNATIONAL,Terminal 3,AISATS,162
21-06-2026,AI,AI 2376,13:25,13,DEL-HKT,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,AI,AI 2388,13:10,13,DEL-SGN,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,6E,6E 1155,13:40,13,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,AI,AI 219,14:25,14,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150
21-06-2026,AI,AI 2304,14:30,14,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,6E,6E 1807,14:25,14,DEL-TBS,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,SQ,SQ 405,14:20,14,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,388
21-06-2026,FG,FG 312,15:00,15,DEL-KBL,INTERNATIONAL,Terminal 3,BFS,230
21-06-2026,AI,AI 4309,15:15,15,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,EY,EY 215,15:55,15,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,158
21-06-2026,6E,6E 1053,15:45,15,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,220
21-06-2026,6E,6E 1081,15:40,15,DEL-HKT,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,6E,6E 1345,15:55,15,DEL-DOH,INTERNATIONAL,Terminal 3,BFS,236
21-06-2026,RQ,RQ 4402,15:10,15,DEL-KBL,INTERNATIONAL,Terminal 3,AISATS,346
21-06-2026,IA,IA 444,16:30,16,DEL-BGW,INTERNATIONAL,Terminal 3,AISATS,362
21-06-2026,WY,WY 246,16:00,16,DEL-MCT,INTERNATIONAL,Terminal 3,BFS,162
21-06-2026,RA,RA 218,16:20,16,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,274
21-06-2026,EK,EK 517,16:25,16,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,360
21-06-2026,AI,AI 2255,17:25,17,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,B4,B4 443,17:55,17,DEL-MLE,INTERNATIONAL,Terminal 3,,
21-06-2026,6E,6E 1161,17:50,17,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,186
