seat,flight,N1_entry,N1_wait_r200_flight,N1_wait_r180_flight,N1_proc_r200_flight,N1_proc_r180_flight,N1_wait_r200_airline,N1_wait_r180_airline,N1_proc_r200_airline,N1_proc_r180_airline,N1_wait_r200_gha,N1_wait_r180_gha,N1_proc_r200_gha,N1_proc_r180_gha
158,AI 173,-159.0,221.667,194.0,66.0,38.0,1006.667,900.0,851.0,744.0,1010.0,903.0,854.333,747.0
134,AI 173,-159.0,218.333,191.0,62.667,35.0,1003.333,897.0,847.667,741.0,1006.667,900.0,851.0,744.0
276,AI 173,-159.0,231.667,203.0,76.0,47.0,1016.667,909.0,861.0,753.0,1020.0,912.0,864.333,756.0
259,AI 173,-158.0,234.0,205.0,79.333,50.0,1052.333,941.0,897.667,786.0,1055.667,944.0,901.0,789.0
250,AI 173,-157.0,246.333,216.0,92.667,62.0,1098.0,982.0,944.333,828.0,1101.333,985.0,947.667,831.0
196,AI 173,-157.0,243.0,213.0,89.333,59.0,1094.667,979.0,941.0,825.0,1098.0,982.0,944.333,828.0
106,AI 173,-157.0,236.333,207.0,82.667,53.0,1088.0,973.0,934.333,819.0,1091.333,976.0,937.667,822.0
166,AI 173,-157.0,239.667,210.0,86.0,56.0,1091.333,976.0,937.667,822.0,1094.667,979.0,941.0,825.0
82,AI 173,-156.0,258.667,227.0,106.0,74.0,1163.667,1041.0,1011.0,888.0,1167.0,1044.0,1014.333,891.0
71,AI 173,-156.0,255.333,224.0,102.667,71.0,1160.333,1038.0,1007.667,885.0,1163.667,1041.0,1011.0,888.0
201,AI 173,-156.0,262.0,230.0,109.333,77.0,1167.0,1044.0,1014.333,891.0,1170.333,1047.0,1017.667,894.0
69,AI 173,-156.0,252.0,221.0,99.333,68.0,1157.0,1035.0,1004.333,882.0,1160.333,1038.0,1007.667,885.0
28,AI 173,-156.0,248.667,218.0,96.0,65.0,1153.667,1032.0,1001.0,879.0,1157.0,1035.0,1004.333,882.0
152,AI 173,-155.0,277.667,244.0,126.0,92.0,1229.333,1100.0,1077.667,948.0,1232.667,1103.0,1081.0,951.0
49,AI 173,-155.0,264.333,232.0,112.667,80.0,1216.0,1088.0,1064.333,936.0,1219.333,1091.0,1067.667,939.0
174,AI 173,-155.0,281.0,247.0,129.333,95.0,1232.667,1103.0,1081.0,951.0,1236.0,1106.0,1084.333,954.0
51,AI 173,-155.0,267.667,235.0,116.0,83.0,1219.333,1091.0,1067.667,939.0,1222.667,1094.0,1071.0,942.0
88,AI 173,-155.0,274.333,241.0,122.667,89.0,1226.0,1097.0,1074.333,945.0,1229.333,1100.0,1077.667,948.0
59,AI 173,-155.0,271.0,238.0,119.333,86.0,1222.667,1094.0,1071.0,942.0,1226.0,1097.0,1074.333,945.0
97,AI 173,-154.0,286.667,252.0,136.0,101.0,1271.667,1138.0,1121.0,987.0,1275.0,1141.0,1124.333,990.0
116,AI 173,-154.0,290.0,255.0,139.333,104.0,1275.0,1141.0,1124.333,990.0,1278.333,1144.0,1127.667,993.0
155,AI 173,-154.0,296.667,261.0,146.0,110.0,1281.667,1147.0,1131.0,996.0,1285.0,1150.0,1134.333,999.0
18,AI 173,-154.0,283.333,249.0,132.667,98.0,1268.333,1135.0,1117.667,984.0,1271.667,1138.0,1121.0,987.0
150,AI 173,-154.0,293.333,258.0,142.667,107.0,1278.333,1144.0,1127.667,993.0,1281.667,1147.0,1131.0,996.0
151,AI 173,-153.0,309.0,272.0,159.333,122.0,1324.0,1185.0,1174.333,1035.0,1327.333,1188.0,1177.667,1038.0
98,AI 173,-153.0,299.0,263.0,149.333,113.0,1314.0,1176.0,1164.333,1026.0,1317.333,1179.0,1167.667,1029.0
175,AI 173,-153.0,312.333,275.0,162.667,125.0,1327.333,1188.0,1177.667,1038.0,1330.667,1191.0,1181.0,1041.0
145,AI 173,-153.0,305.667,269.0,156.0,119.0,1320.667,1182.0,1171.0,1032.0,1324.0,1185.0,1174.333,1035.0
109,AI 173,-153.0,302.333,266.0,152.667,116.0,1317.333,1179.0,1167.667,1029.0,1320.667,1182.0,1171.0,1032.0
141,AI 173,-152.0,318.0,280.0,169.333,131.0,1393.0,1247.0,1244.333,1098.0,1396.333,1250.0,1247.667,1101.0
154,AI 173,-152.0,321.333,283.0,172.667,134.0,1396.333,1250.0,1247.667,1101.0,1399.667,1253.0,1251.0,1104.0
13,AI 173,-152.0,314.667,277.0,166.0,128.0,1389.667,1244.0,1241.0,1095.0,1393.0,1247.0,1244.333,1098.0
277,AI 173,-151.0,343.667,303.0,196.0,155.0,1465.333,1312.0,1317.667,1164.0,1472.0,1318.0,1324.333,1170.0
144,AI 173,-151.0,330.333,291.0,182.667,143.0,1452.0,1300.0,1304.333,1152.0,1458.667,1306.0,1311.0,1158.0
40,AI 173,-151.0,327.0,288.0,179.333,140.0,1448.667,1297.0,1301.0,1149.0,1455.333,1303.0,1307.667,1155.0
37,AI 173,-151.0,323.667,285.0,176.0,137.0,1445.333,1294.0,1297.667,1146.0,1452.0,1300.0,1304.333,1152.0
232,AI 173,-151.0,337.0,297.0,189.333,149.0,1458.667,1306.0,1311.0,1158.0,1465.333,1312.0,1317.667,1164.0
238,AI 173,-151.0,340.333,300.0,192.667,152.0,1462.0,1309.0,1314.333,1161.0,1468.667,1315.0,1321.0,1167.0
193,AI 173,-151.0,333.667,294.0,186.0,146.0,1455.333,1303.0,1307.667,1155.0,1462.0,1309.0,1314.333,1161.0
195,AI 173,-150.0,352.667,311.0,206.0,164.0,1511.0,1353.0,1364.333,1206.0,1517.667,1359.0,1371.0,1212.0
108,AI 173,-150.0,349.333,308.0,202.667,161.0,1507.667,1350.0,1361.0,1203.0,1514.333,1356.0,1367.667,1209.0
42,AI 173,-150.0,346.0,305.0,199.333,158.0,1504.333,1347.0,1357.667,1200.0,1511.0,1353.0,1364.333,1206.0
198,AI 173,-150.0,356.0,314.0,209.333,167.0,1514.333,1356.0,1367.667,1209.0,1521.0,1362.0,1374.333,1215.0
270,AI 173,-149.0,358.333,316.0,212.667,170.0,1563.333,1400.0,1417.667,1254.0,1573.333,1409.0,1427.667,1263.0
79,AI 173,-148.0,367.333,324.0,222.667,179.0,1605.667,1438.0,1461.0,1293.0,1615.667,1447.0,1471.0,1302.0
281,AI 173,-148.0,377.333,333.0,232.667,188.0,1615.667,1447.0,1471.0,1302.0,1625.667,1456.0,1481.0,1311.0
26,AI 173,-148.0,360.667,318.0,216.0,173.0,1599.0,1432.0,1454.333,1287.0,1609.0,1441.0,1464.333,1296.0
77,AI 173,-148.0,364.0,321.0,219.333,176.0,1602.333,1435.0,1457.667,1290.0,1612.333,1444.0,1467.667,1299.0
129,AI 173,-148.0,374.0,330.0,229.333,185.0,1612.333,1444.0,1467.667,1299.0,1622.333,1453.0,1477.667,1308.0
91,AI 173,-148.0,370.667,327.0,226.0,182.0,1609.0,1441.0,1464.333,1296.0,1619.0,1450.0,1474.333,1305.0
220,AI 173,-147.0,393.0,347.0,249.333,203.0,1678.0,1503.0,1534.333,1359.0,1691.333,1515.0,1547.667,1371.0
227,AI 173,-147.0,396.333,350.0,252.667,206.0,1681.333,1506.0,1537.667,1362.0,1694.667,1518.0,1551.0,1374.0
23,AI 173,-147.0,379.667,335.0,236.0,191.0,1664.667,1491.0,1521.0,1347.0,1678.0,1503.0,1534.333,1359.0
199,AI 173,-147.0,389.667,344.0,246.0,200.0,1674.667,1500.0,1531.0,1356.0,1688.0,1512.0,1544.333,1368.0
132,AI 173,-147.0,386.333,341.0,242.667,197.0,1671.333,1497.0,1527.667,1353.0,1684.667,1509.0,1541.0,1365.0
113,AI 173,-147.0,383.0,338.0,239.333,194.0,1668.0,1494.0,1524.333,1350.0,1681.333,1506.0,1537.667,1362.0
