grouping,model,regime,target_min,n_groups,airport_peak,sum_group_peaks,max_single_group,total_counter_min
gha,SL34,r200,20,4,202,307,137,133600
gha,SL34,r180,20,4,182,276,123,120630
gha,SL34,r200,40,4,192,270,123,133793
gha,SL34,r180,40,4,173,244,111,120722
gha,SL35,r200,20,4,143,204,94,133896
gha,SL35,r180,20,4,129,183,84,120927
gha,SL35,r200,40,4,136,193,89,134112
gha,SL35,r180,40,4,123,173,80,121045
gha,SL36,r200,20,4,216,297,131,133594
gha,SL36,r180,20,4,194,268,118,120581
gha,SL36,r200,40,4,195,273,124,133754
gha,SL36,r180,40,4,177,247,112,120639
gha,SL37,r200,20,4,165,234,105,133757
gha,SL37,r180,20,4,148,211,94,120766
gha,SL37,r200,40,4,157,219,97,133923
gha,SL37,r180,40,4,142,198,88,120844
gha,SL38,r200,20,4,144,211,93,133903
gha,SL38,r180,20,4,128,190,84,120936
gha,SL38,r200,40,4,136,194,87,134173
gha,SL38,r180,40,4,123,174,78,121071
gha,SL39,r200,20,4,134,186,87,134089
gha,SL39,r180,20,4,121,168,78,121138
gha,SL39,r200,40,4,131,177,83,134377
gha,SL39,r180,40,4,118,160,75,121316
gha,SR1,r200,20,4,171,226,107,133687
gha,SR1,r180,20,4,154,205,97,120698
gha,SR1,r200,40,4,162,214,102,133727
gha,SR1,r180,40,4,146,193,92,120649
gha,SR2,r200,20,4,162,223,104,133729
gha,SR2,r180,20,4,147,202,94,120756
gha,SR2,r200,40,4,161,215,102,133855
gha,SR2,r180,40,4,145,194,92,120760
gha,SR3,r200,20,4,130,181,85,134160
gha,SR3,r180,20,4,118,164,77,121240
gha,SR3,r200,40,4,128,173,83,134384
gha,SR3,r180,40,4,115,156,75,121308
gha,SR4,r200,20,4,215,295,134,133567
gha,SR4,r180,20,4,194,267,121,120606
gha,SR4,r200,40,4,193,262,121,133267
gha,SR4,r180,40,4,173,236,109,120233
gha,SR5,r200,20,4,166,227,107,133835
gha,SR5,r180,20,4,150,205,97,120859
gha,SR5,r200,40,4,161,217,101,134015
gha,SR5,r180,40,4,145,195,91,120903
gha,SR6,r200,20,4,146,197,92,133885
gha,SR6,r180,20,4,131,179,83,120968
gha,SR6,r200,40,4,141,190,91,134126
gha,SR6,r180,40,4,128,172,82,121106
gha,SR7,r200,20,4,128,184,79,134002
gha,SR7,r180,20,4,116,166,72,121075
gha,SR7,r200,40,4,124,171,77,134221
gha,SR7,r180,40,4,112,154,69,121155
gha,SR8,r200,20,4,216,291,133,133550
gha,SR8,r180,20,4,194,261,119,120558
gha,SR8,r200,40,4,198,266,122,133134
gha,SR8,r180,40,4,179,240,110,120099
gha,SR9,r200,20,4,149,196,92,133968
gha,SR9,r180,20,4,134,176,83,121063
gha,SR9,r200,40,4,143,188,89,134185
gha,SR9,r180,40,4,128,170,80,121140
gha,SR10,r200,20,4,210,303,135,133605
gha,SR10,r180,20,4,189,273,122,120608
gha,SR10,r200,40,4,195,269,125,133367
gha,SR10,r180,40,4,175,242,113,120302
gha,SR11,r200,20,4,166,222,103,133797
gha,SR11,r180,20,4,149,201,93,120811
gha,SR11,r200,40,4,159,213,99,134003
gha,SR11,r180,40,4,144,192,89,120928
gha,SR12,r200,20,4,149,196,94,133888
gha,SR12,r180,20,4,135,177,85,120947
gha,SR12,r200,40,4,147,190,93,134089
gha,SR12,r180,40,4,132,172,84,121058
gha,SR13,r200,20,4,131,183,90,134103
gha,SR13,r180,20,4,119,164,81,121176
gha,SR13,r200,40,4,129,173,85,134323
gha,SR13,r180,40,4,116,155,76,121335
gha,SR14,r200,20,4,173,235,111,133722
gha,SR14,r180,20,4,157,212,100,120798
gha,SR14,r200,40,4,166,217,104,133770
gha,SR14,r180,40,4,150,196,94,120673
gha,SR15,r200,20,4,174,236,116,133711
gha,SR15,r180,20,4,157,213,104,120775
gha,SR15,r200,40,4,167,218,107,133755
gha,SR15,r180,40,4,150,198,96,120658
gha,SR16,r200,20,4,133,186,89,134129
gha,SR16,r180,20,4,121,168,80,121240
gha,SR16,r200,40,4,130,177,84,134357
gha,SR16,r180,40,4,118,159,75,121353
gha,SR17,r200,20,4,213,306,137,133541
gha,SR17,r180,20,4,192,276,123,120559
gha,SR17,r200,40,4,194,267,124,132988
gha,SR17,r180,40,4,175,241,112,119977
gha,SR18,r200,20,4,169,227,106,133730
gha,SR18,r180,20,4,153,204,95,120822
gha,SR18,r200,40,4,161,218,103,133903
gha,SR18,r180,40,4,146,196,93,120835
gha,SR19,r200,20,4,149,198,96,133910
gha,SR19,r180,20,4,135,180,87,121006
gha,SR19,r200,40,4,146,193,93,134170
gha,SR19,r180,40,4,132,174,84,121048
gha,SR20,r200,20,4,139,184,91,134091
gha,SR20,r180,20,4,124,166,82,121137
gha,SR20,r200,40,4,133,174,86,134398
gha,SR20,r180,40,4,120,158,78,121376
gha,SR21,r200,20,4,208,304,132,133412
gha,SR21,r180,20,4,187,274,119,120445
gha,SR21,r200,40,4,192,267,121,132735
gha,SR21,r180,40,4,174,240,109,119799
gha,SR22,r200,20,4,153,202,96,133903
gha,SR22,r180,20,4,138,182,87,120954
gha,SR22,r200,40,4,143,189,90,134069
gha,SR22,r180,40,4,130,171,81,120976
gha,SR23,r200,20,4,213,302,137,133497
gha,SR23,r180,20,4,192,271,123,120504
gha,SR23,r200,40,4,196,268,124,132945
gha,SR23,r180,40,4,176,242,112,119899
gha,SR24,r200,20,4,176,234,115,133714
gha,SR24,r180,20,4,159,212,104,120765
gha,SR24,r200,40,4,164,216,105,133646
gha,SR24,r180,40,4,148,195,95,120596
gha,SR25,r200,20,4,153,203,98,133892
gha,SR25,r180,20,4,138,184,89,120970
gha,SR25,r200,40,4,146,191,93,134116
gha,SR25,r180,40,4,131,172,84,121024
gha,SR26,r200,20,4,137,181,85,134110
gha,SR26,r180,20,4,124,164,77,121160
gha,SR26,r200,40,4,130,176,83,134350
gha,SR26,r180,40,4,118,159,75,121321
gha,SR27,r200,20,4,171,239,110,133738
gha,SR27,r180,20,4,154,215,99,120774
gha,SR27,r200,40,4,161,221,105,133627
gha,SR27,r180,40,4,146,198,94,120592
gha,SR28,r200,20,4,172,240,110,133739
gha,SR28,r180,20,4,156,216,99,120762
gha,SR28,r200,40,4,164,222,105,133593
gha,SR28,r180,40,4,148,200,94,120559
gha,SR29,r200,20,4,141,185,91,134003
gha,SR29,r180,20,4,127,167,82,121074
gha,SR29,r200,40,4,135,176,86,134188
gha,SR29,r180,40,4,122,158,77,121092
gha,SR30,r200,20,4,223,316,144,133056
gha,SR30,r180,20,4,201,284,129,120100
gha,SR30,r200,40,4,199,275,129,132092
gha,SR30,r180,40,4,179,248,116,119158
gha,SR31,r200,20,4,177,233,108,133707
gha,SR31,r180,20,4,159,211,98,120725
gha,SR31,r200,40,4,170,218,106,133572
gha,SR31,r180,40,4,152,197,95,120519
gha,SR32,r200,20,4,157,215,102,133832
gha,SR32,r180,20,4,142,195,92,120908
gha,SR32,r200,40,4,151,203,99,133741
gha,SR32,r180,40,4,137,185,90,120728
gha,SR33,r200,20,4,139,188,92,133976
gha,SR33,r180,20,4,125,169,83,121047
gha,SR33,r200,40,4,137,179,90,134098
gha,SR33,r180,40,4,123,161,81,121066
gha,SR34,r200,20,4,212,307,134,133228
gha,SR34,r180,20,4,191,277,121,120284
gha,SR34,r200,40,4,194,272,124,132386
gha,SR34,r180,40,4,175,245,111,119428
gha,SR35,r200,20,4,160,216,103,133851
gha,SR35,r180,20,4,145,195,93,120941
gha,SR35,r200,40,4,152,201,97,133984
gha,SR35,r180,40,4,137,180,87,120927
gha,SR36,r200,20,4,217,312,141,133229
gha,SR36,r180,20,4,196,281,127,120267
gha,SR36,r200,40,4,198,275,129,132354
gha,SR36,r180,40,4,179,248,116,119434
gha,SR37,r200,20,4,175,241,117,133590
gha,SR37,r180,20,4,158,217,105,120652
gha,SR37,r200,40,4,167,221,109,133349
gha,SR37,r180,40,4,151,200,98,120365
gha,SR38,r200,20,4,154,208,104,133870
gha,SR38,r180,20,4,139,187,93,120900
gha,SR38,r200,40,4,148,196,97,133970
gha,SR38,r180,40,4,133,177,87,120870
gha,SR39,r200,20,4,136,188,88,133990
gha,SR39,r180,20,4,123,168,79,121088
gha,SR39,r200,40,4,132,180,86,134202
gha,SR39,r180,40,4,119,162,77,121102
