grouping,model,regime,target_min,n_groups,airport_peak,sum_group_peaks,max_single_group,total_counter_min
flight,SL29,r200,20,164,154,1253,15,157108
flight,SL29,r180,20,164,143,1151,14,146722
flight,SL29,r200,40,164,155,1129,14,163336
flight,SL29,r180,40,164,145,1016,12,151788
flight,SL30,r200,20,164,217,3808,50,139375
flight,SL30,r180,20,164,197,3440,45,127113
flight,SL30,r200,40,164,205,2948,37,141766
flight,SL30,r180,40,164,185,2662,33,129136
flight,SL31,r200,20,164,174,2196,28,145433
flight,SL31,r180,20,164,159,1991,26,133720
flight,SL31,r200,40,164,167,1944,25,149008
flight,SL31,r180,40,164,153,1765,22,136593
flight,SL32,r200,20,164,156,1588,17,151260
flight,SL32,r180,20,164,146,1442,16,140383
flight,SL32,r200,40,164,159,1425,17,156373
flight,SL32,r180,40,164,145,1293,15,144295
flight,SL33,r200,20,164,156,1283,15,156417
flight,SL33,r180,20,164,146,1166,14,146193
flight,SL33,r200,40,164,157,1141,14,163215
flight,SL33,r180,40,164,144,1047,13,151431
flight,SL34,r200,20,164,208,3785,46,139365
flight,SL34,r180,20,164,189,3430,42,127065
flight,SL34,r200,40,164,200,2939,36,141929
flight,SL34,r180,40,164,182,2667,33,129295
flight,SL35,r200,20,164,160,1579,18,150973
flight,SL35,r180,20,164,147,1435,17,139991
flight,SL35,r200,40,164,155,1423,17,155941
flight,SL35,r180,40,164,143,1292,15,143952
flight,SL36,r200,20,164,221,3781,49,139461
flight,SL36,r180,20,164,201,3427,45,127228
flight,SL36,r200,40,164,204,2942,38,141941
flight,SL36,r180,40,164,184,2662,34,129251
flight,SL37,r200,20,164,173,2181,28,145402
flight,SL37,r180,20,164,159,1972,25,133809
flight,SL37,r200,40,164,170,1932,25,149104
flight,SL37,r180,40,164,156,1758,23,136939
flight,SL38,r200,20,164,155,1581,18,151078
flight,SL38,r180,20,164,142,1436,16,140107
flight,SL38,r200,40,164,152,1430,16,155950
flight,SL38,r180,40,164,141,1296,15,144127
flight,SL39,r200,20,164,158,1262,16,156509
flight,SL39,r180,20,164,144,1161,14,146255
flight,SL39,r200,40,164,158,1137,14,162487
flight,SL39,r180,40,164,146,1037,12,151122
flight,SR1,r200,20,164,181,2015,28,146343
flight,SR1,r180,20,164,168,1823,25,134923
flight,SR1,r200,40,164,177,1814,24,149952
flight,SR1,r180,40,164,161,1644,22,137671
flight,SR2,r200,20,164,173,2025,26,146405
flight,SR2,r180,20,164,160,1836,23,134871
flight,SR2,r200,40,164,173,1814,23,150015
flight,SR2,r180,40,164,158,1643,21,137680
flight,SR3,r200,20,164,151,1186,15,158746
flight,SR3,r180,20,164,143,1088,14,148684
flight,SR3,r200,40,164,151,1064,14,165490
flight,SR3,r180,40,164,141,978,13,153570
flight,SR4,r200,20,164,224,3529,46,139996
flight,SR4,r180,20,164,202,3196,41,127779
flight,SR4,r200,40,164,203,2827,36,142132
flight,SR4,r180,40,164,186,2553,32,129559
flight,SR5,r200,20,164,178,2034,27,146399
flight,SR5,r180,20,164,163,1846,24,134838
flight,SR5,r200,40,164,175,1833,23,150226
flight,SR5,r180,40,164,159,1651,21,137863
flight,SR6,r200,20,164,162,1448,18,152631
flight,SR6,r180,20,164,150,1321,16,141923
flight,SR6,r200,40,164,162,1310,17,157761
flight,SR6,r180,40,164,148,1196,15,145781
flight,SR7,r200,20,164,149,1183,15,158647
flight,SR7,r180,20,164,139,1079,14,148704
flight,SR7,r200,40,164,149,1067,14,165085
flight,SR7,r180,40,164,139,964,12,153696
flight,SR8,r200,20,164,226,3521,46,140011
flight,SR8,r180,20,164,202,3184,42,127820
flight,SR8,r200,40,164,208,2827,35,142081
flight,SR8,r180,40,164,188,2555,32,129572
flight,SR9,r200,20,164,165,1466,20,153122
flight,SR9,r180,20,164,153,1337,18,142376
flight,SR9,r200,40,164,163,1320,16,157938
flight,SR9,r180,40,164,148,1204,15,146123
flight,SR10,r200,20,164,217,3543,43,139891
