No.,DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats,Pax,D-4 Pax,D-3 Pax,D-2 Pax,D-4,D-3,D-2,Confidence
52,21-06-2026,6E,6E 1611,06:40,6,DEL-BBI-DPS,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,02:40,03:40,04:40,high
53,21-06-2026,6E,6E 1063,06:50,6,DEL-BKK,INTERNATIONAL,Terminal 3,IndiGo,220,176,53,70,53,02:50,03:50,04:50,high
54,21-06-2026,6E,6E 1069,06:50,6,DEL-KBV,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,02:50,03:50,04:50,high
55,21-06-2026,AI,AI 213,07:00,7,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,186,149,45,60,45,03:00,04:00,05:00,high
56,21-06-2026,6E,6E 1901,07:30,7,DEL-ATH,INTERNATIONAL,Terminal 3,AISATS,150,120,36,48,36,03:30,04:30,05:30,high
57,21-06-2026,AY,AY 122,07:40,7,DEL-HEL,INTERNATIONAL,Terminal 3,IndiGo,195,156,47,62,47,03:40,04:40,05:40,high
58,21-06-2026,6E,6E 011,07:45,7,DEL-IST,INTERNATIONAL,Terminal 3,BFS,279,223,67,89,67,03:45,04:45,05:45,high
59,21-06-2026,J9,J9 410,07:45,7,DEL-KWI,INTERNATIONAL,Terminal 3,IndiGo,195,156,47,62,47,03:45,04:45,05:45,high
60,21-06-2026,SG,SG 5111,07:45,7,DEL-DXB,INTERNATIONAL,Terminal 3,Ramp 360,174,139,42,56,42,03:45,04:45,05:45,high
61,21-06-2026,SU,SU 233,07:50,7,DEL-SVO,INTERNATIONAL,Terminal 3,BFS,189,151,45,60,45,03:50,04:50,05:50,high
62,21-06-2026,6E,6E 1151,08:00,8,DEL-KTM,INTERNATIONAL,Terminal 3,IndiGo,,,,,,04:00,05:00,06:00,recovered (seats unreadable - glare)
63,21-06-2026,LO,LO 072,08:00,8,DEL-WAW,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,04:00,05:00,06:00,low-glare
64,21-06-2026,AI,AI 2355,08:25,8,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,252,202,61,81,61,04:25,05:25,06:25,low-glare
65,21-06-2026,IX,IX 179,08:25,8,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,04:25,05:25,06:25,low-glare
66,21-06-2026,6E,6E 1461,08:35,8,DEL-DXB,INTERNATIONAL,Terminal 3,IndiGo,180,144,43,58,43,04:35,05:35,06:35,low-glare
67,21-06-2026,WY,WY 242,08:55,8,DEL-MCT,INTERNATIONAL,Terminal 3,AISATS,180,144,43,58,43,04:55,05:55,06:55,low-glare
68,21-06-2026,SQ,SQ 401,09:00,9,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,162,130,39,52,39,05:00,06:00,07:00,low-glare
69,21-06-2026,6E,6E 1013,09:05,9,DEL-SIN,INTERNATIONAL,Terminal 3,IndiGo,337,270,81,108,81,05:05,06:05,07:05,low-glare
70,21-06-2026,EY,EY 213,09:25,9,DEL-AUH,INTERNATIONAL,Terminal 3,IndiGo,222,178,53,71,53,05:25,06:25,07:25,low-glare
71,21-06-2026,W5,W5 070,09:30,9,DEL-IKA,INTERNATIONAL,Terminal 3,AISATS,158,126,38,50,38,05:30,06:30,07:30,low-glare
72,21-06-2026,ET,ET 689,09:35,9,DEL-ADD,INTERNATIONAL,Terminal 3,AISATS,308,246,74,98,74,05:35,06:35,07:35,low-glare
73,21-06-2026,AI,AI 917,09:50,9,DEL-DXB,INTERNATIONAL,Terminal 3,Ramp 360,315,252,76,101,76,05:50,06:50,07:50,low-glare
74,21-06-2026,BA,BA 256,10:05,10,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,06:05,07:05,08:05,low-glare
75,21-06-2026,QR,QR 571,10:25,10,DEL-DOH,INTERNATIONAL,Terminal 3,Ramp 360,204,163,49,65,49,06:25,07:25,08:25,low-glare
76,21-06-2026,AI,AI 4209,10:35,10,DEL-DXB,INTERNATIONAL,Terminal 3,Ramp 360,254,203,61,81,61,06:35,07:35,08:35,low-glare
77,21-06-2026,AI,AI 143,10:45,10,DEL-CDG,INTERNATIONAL,Terminal 3,AISATS,,,,,,06:45,07:45,08:45,recovered (seats unreadable - glare)
78,21-06-2026,AI,AI 113,10:50,10,DEL-BHX,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,06:50,07:50,08:50,low-glare
79,21-06-2026,6E,6E 003,10:50,10,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,06:50,07:50,08:50,low-glare
80,21-06-2026,B3,B3 774,10:55,10,DEL-KTM-PBH,INTERNATIONAL,Terminal 3,BFS,,,,,,06:55,07:55,08:55,recovered (seats unreadable - glare)
81,21-06-2026,K9,K9 1602,10:55,10,DEL-BSZ,INTERNATIONAL,Terminal 3,IndiGo,338,270,81,108,81,06:55,07:55,08:55,low-glare
82,21-06-2026,AI,AI 2332,11:00,11,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,126,101,30,40,30,07:00,08:00,09:00,low-glare
83,21-06-2026,EK,EK 511,11:00,11,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,07:00,08:00,09:00,low-glare
84,21-06-2026,AI,AI 237,11:10,11,DEL-DAC,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,07:10,08:10,09:10,low-glare
85,21-06-2026,6E,6E 1153,11:10,11,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,360,288,86,115,86,07:10,08:10,09:10,low-glare
86,21-06-2026,VS,VS 301,11:10,11,DEL-LHR,INTERNATIONAL,Terminal 3,IndiGo,360,288,86,115,86,07:10,08:10,09:10,low-glare
87,21-06-2026,AI,AI 155,11:15,11,DEL-AMS,INTERNATIONAL,Terminal 3,BFS,397,318,95,127,95,07:15,08:15,09:15,low-glare
88,21-06-2026,SV,SV 757,11:25,11,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,07:25,08:25,09:25,low-glare
89,21-06-2026,KC,KC 908,11:25,11,DEL-ALA,INTERNATIONAL,Terminal 3,AISATS,445,356,107,142,107,07:25,08:25,09:25,low-glare
90,21-06-2026,TG,TG 324,11:40,11,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,264,211,63,84,63,07:40,08:40,09:40,high
91,21-06-2026,MS,MS 974,12:00,12,DEL-CAI,INTERNATIONAL,Terminal 3,BFS,142,114,34,46,34,08:00,09:00,10:00,high
92,21-06-2026,AI,AI 2017,12:05,12,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,316,253,76,101,76,08:05,09:05,10:05,high
93,21-06-2026,C6,C6 558,12:10,12,DEL-TAS,INTERNATIONAL,Terminal 3,AISATS,180,144,43,58,43,08:10,09:10,10:10,high
94,21-06-2026,AI,AI 151,12:15,12,DEL-ZRH,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,08:15,09:15,10:15,high
